EV Sahibi,Deplasman,Skor,EV GOL,DEP GOL,TOPLAM GOL,SONUÇ,1.5-ALT/ÜST,2.5-ALT/ÜST,3.5-ALT/ÜST,4.5-ALT/ÜST,MS-1,MS-X,MS-2,ÇŞ-1X,ÇŞ-12,ÇŞ-X2,H:02-1,H:02-X,H:02-2,H:01-1,H:01-X,H:01-2,H:10-1,H:10-X,H:10-2,H:20-1,H:20-X,H:20-2,ALL
AL Hazem FC,AL Ittihad,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.05,3.00,2.55,1.25,1.20,1.40,6.00,4.25,1.12,3.40,3.30,1.40,1.25,3.60,4.40,1.05,4.50,7.50,ALL
Al-Ahli Doha,Qatar SC,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.25,2.95,2.30,1.30,1.25,1.35,6.75,4.25,1.08,3.75,3.40,1.35,1.30,3.40,4.00,1.08,4.40,7.00,ALL
Barito Pute,Bali Pusam,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.00,2.85,2.75,1.25,1.25,1.45,6.50,4.00,1.12,3.40,3.10,1.45,1.25,3.50,5.00,1.05,4.40,9.00,ALL
Alianza Lima,Nacional,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.00,2.60,3.00,1.20,1.30,1.45,6.75,4.00,1.12,3.50,3.10,1.45,1.18,3.50,6.00,1.05,4.25,8.50,ALL
Alaves,Valencia,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.35,2.70,2.50,1.30,1.32,1.32,8.00,4.25,1.06,4.25,3.25,1.30,1.30,3.30,4.50,1.05,4.30,8.50,ALL
Nürnberg,Hannover 96,2-3,2,3,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.15,2.80,2.50,1.25,1.25,1.40,6.75,4.25,1.08,3.60,3.30,1.40,1.25,3.50,4.50,1.05,4.40,8.00,ALL
Cham. Niort,AS Nancy,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.55,2.50,2.30,1.30,1.30,1.25,9.00,4.25,1.05,4.75,3.30,1.25,1.30,3.20,4.40,1.05,4.25,8.25,ALL
Fortuna Sittard,Zwolle,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,3.00,2.45,1.30,1.20,1.40,6.25,4.25,1.12,3.40,3.40,1.40,1.30,3.60,4.00,1.08,4.50,7.25,ALL
Paderborn,Köln,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.75,3.25,1.85,1.52,1.25,1.22,7.50,4.60,1.05,4.50,3.80,1.22,1.55,3.40,2.90,1.15,4.10,5.00,ALL
AL Ittihad Kalba,AL Jazira (UAE),1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.90,3.30,1.50,1.80,1.18,1.10,10.00,4.60,1.00,7.00,4.00,1.10,1.80,3.10,2.25,1.30,3.60,3.90,ALL
SC Toulon,US Creteil,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.70,2.55,2.05,1.40,1.30,1.25,10.00,4.40,1.02,5.75,3.30,1.25,1.35,3.10,4.25,1.08,4.25,8.00,ALL
Den Bosch,Almere City,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.05,3.20,2.40,1.30,1.20,1.40,5.50,4.25,1.12,3.20,3.50,1.40,1.30,3.75,3.90,1.08,4.50,6.75,ALL
Red Star FC,US Concarneau,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.90,2.50,3.40,1.15,1.30,1.50,6.75,3.90,1.12,3.40,2.95,1.50,1.15,3.50,7.00,1.02,4.25,12.00,ALL
Frankfurt 1899,FC Giessen,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.10,3.10,1.18,1.20,1.55,5.00,3.90,1.20,2.70,3.20,1.60,1.18,3.75,5.50,1.02,4.60,9.00,ALL
Fjölnir,IF Vestri,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.05,5.50,12.50,1.50,3.50,2.90,1.15,3.90,5.50,7.50,25.00,45.00,3.75,12.00,45.00,2.15,12.00,30.00,ALL
AS Lyon-Duchere,Le Puy Foot 43 Auvergne,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.40,1.40,4.00,1.12,1.25,1.60,5.50,3.75,1.18,2.85,2.85,1.60,1.08,3.75,7.50,1.00,4.40,12.50,ALL
Osnabruck,Wehen Wiesbaden,2-6,2,6,8,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.80,2.90,3.10,1.18,1.20,1.55,5.25,4.00,1.15,2.95,3.20,1.55,1.18,3.75,5.50,1.02,4.50,9.50,ALL
Nottingham Forest,Millwall,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.05,2.65,2.80,1.20,1.25,1.40,7.00,4.00,1.10,3.60,3.10,1.40,1.20,3.40,5.25,1.00,1.00,1.00,ALL
Ol Choletais,US Boulogne,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.30,2.50,2.60,1.25,1.30,1.35,8.25,4.25,1.05,4.25,3.20,1.35,1.25,3.30,5.00,1.05,4.25,9.50,ALL
Zalgiris V,FK Panevezys,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.12,5.25,8.00,1.02,1.05,2.70,2.55,2.95,1.95,1.40,2.65,2.65,1.00,4.00,15.00,1.00,1.00,1.00,ALL
Helsingoer,Bronshoj,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.12,4.75,9.00,1.00,1.05,2.70,2.00,3.25,2.00,1.40,3.30,2.70,1.00,4.40,12.50,1.00,1.00,1.00,ALL
Vocklamarkt,Wels,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.15,5.00,7.00,1.02,1.05,2.55,1.90,3.60,2.05,1.35,3.75,2.55,1.02,4.75,9.00,1.00,1.00,1.00,ALL
Melaka,Pdrm FA,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.45,3.60,3.75,1.12,1.15,1.80,3.60,3.75,1.35,2.10,3.20,1.80,1.12,4.25,6.50,1.02,4.60,10.00,ALL
Excelsior,Maastricht,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.65,3.40,3.10,1.18,1.18,1.62,4.00,4.00,1.25,2.40,3.40,1.62,1.18,4.00,5.00,1.05,4.75,8.00,ALL
Drogheda,Col. Dublin,5-1,5,1,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.50,3.30,4.00,1.10,1.18,1.80,3.75,3.60,1.30,2.20,3.10,1.80,1.10,4.00,7.00,1.00,4.60,10.00,ALL
Blau Weiss Linz,Vorwarts,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.20,3.00,1.20,1.20,1.55,4.60,4.00,1.20,2.65,3.30,1.55,1.20,3.90,5.00,1.05,4.60,8.25,ALL
Caernarfon,Newtown,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.85,2.95,2.95,1.20,1.20,1.50,5.25,4.00,1.15,2.95,3.20,1.50,1.20,3.75,5.25,1.02,4.50,9.00,ALL
SV Mattersburg (A),FC Mauerwerk,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.80,3.20,2.80,1.20,1.20,1.55,5.00,4.00,1.15,2.85,3.30,1.55,1.20,3.75,4.75,1.05,4.60,8.00,ALL
FC Bourg-En-bresse Peronn,Stade Laval,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.95,2.70,3.00,1.18,1.25,1.45,6.50,4.00,1.12,3.40,3.10,1.45,1.18,3.50,5.75,1.02,4.40,10.00,ALL
Moghreb,Y. Berrechid,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.55,3.20,1.20,1.30,1.45,6.50,4.00,1.12,3.40,3.10,1.45,1.18,3.60,6.25,1.02,4.40,10.00,ALL
Brisbane Roar,W.SydneyWan.,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.15,2.95,2.45,1.30,1.20,1.40,6.25,4.25,1.10,3.50,3.40,1.40,1.30,3.60,4.00,1.08,4.40,7.25,ALL
HB Koege,Vendsyssel,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.45,2.80,2.20,1.35,1.25,1.30,8.00,4.40,1.05,4.40,3.40,1.30,1.35,3.30,3.75,1.08,4.25,7.00,ALL
AS Beziers,US Avranches,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.55,2.35,1.30,1.30,1.25,8.50,4.25,1.05,4.75,3.30,1.25,1.30,3.25,4.25,1.05,4.25,8.00,ALL
Penybont,Cardiff Metropolitan,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.75,3.10,1.85,1.50,1.20,1.20,8.00,4.60,1.05,4.75,3.75,1.20,1.50,3.30,2.90,1.15,4.00,5.25,ALL
SC Weiz,USV Weindorf ST Anna AM A,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.15,3.20,2.30,1.30,1.20,1.40,6.00,4.25,1.12,3.40,3.50,1.40,1.30,3.60,3.75,1.08,4.40,6.50,ALL
Brunei Dpmm FC,Tampines Rov,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.05,3.10,2.40,1.30,1.20,1.40,6.00,4.25,1.12,3.40,3.40,1.40,1.30,3.50,4.00,1.08,4.40,7.00,ALL
Volendam,Jong Ajax,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.95,3.30,2.45,1.30,1.20,1.45,5.00,4.25,1.15,3.00,3.60,1.45,1.30,3.75,3.90,1.08,4.60,6.50,ALL
Clermont Foo,Sochaux,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.67,2.75,3.90,1.12,1.25,1.60,5.50,3.75,1.18,2.85,2.85,1.60,1.12,3.75,8.00,1.00,4.25,12.50,ALL
T Reykjavik,Grotta,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.50,3.60,1.50,1.75,1.15,1.12,9.50,4.60,1.02,6.00,4.00,1.12,1.75,3.20,2.20,1.30,3.60,2.70,ALL
Ajaccio,Pau,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.40,2.60,1.85,1.50,1.25,1.15,12.00,4.25,1.02,7.00,3.50,1.15,1.50,2.90,3.40,1.12,3.90,6.75,ALL
Beşiktaş,Ankaragücü,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.20,4.40,7.50,1.00,1.10,2.90,2.40,3.25,1.75,1.55,3.15,2.90,1.00,4.30,11.00,1.00,1.00,1.00,ALL
AL Wehda FC,Damac FC,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.40,3.50,4.40,1.08,1.15,1.90,3.40,3.60,1.40,2.00,3.20,1.90,1.08,4.25,7.25,1.00,4.60,10.00,ALL
Waterford,Derry City,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.20,2.80,1.80,1.50,1.25,1.15,10.00,4.40,1.02,6.25,3.60,1.15,1.50,3.00,3.10,1.15,3.90,6.00,ALL
Rod. Aveyro,Guingamp,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.70,2.65,2.10,1.40,1.25,1.25,9.00,4.40,1.05,5.00,3.40,1.25,1.40,3.20,3.75,1.08,4.25,7.00,ALL
Petaling Jay,Pahang FA,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.75,3.20,1.85,1.50,1.20,1.20,8.00,4.60,1.05,4.60,3.75,1.20,1.50,3.40,2.85,1.18,4.00,5.00,ALL
Chateauroux,Caen,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.55,2.55,2.30,1.35,1.30,1.25,9.00,4.25,1.05,4.75,3.40,1.25,1.35,3.20,4.25,1.08,4.25,8.00,ALL
Shabab AL Ahli Dubai Club,Al-Nasr Dubai SC,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.50,3.30,4.25,1.08,1.18,1.80,3.90,3.60,1.30,2.20,3.00,1.80,1.08,4.00,7.50,1.00,4.50,12.00,ALL
Jihlava,Trinec,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.25,4.00,5.50,1.05,1.10,2.20,2.75,3.40,1.55,1.70,3.10,2.20,1.05,4.25,9.00,1.00,4.50,12.50,ALL
Deportivo Llacuabamba,Cajamarca,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,4.40,3.60,1.40,1.90,1.15,1.12,15.00,4.25,1.00,9.00,3.75,1.08,2.10,2.65,2.25,1.30,3.40,4.25,ALL
SC Neusiedl,SK Rapid Wien (A),2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,4.25,3.40,1.45,1.85,1.15,1.08,12.00,4.50,1.00,7.50,4.00,1.08,1.85,3.00,2.15,1.35,3.60,3.75,ALL
Persita Tangerang,PSM Makassar,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.85,3.10,2.75,1.20,1.20,1.50,5.25,4.00,1.15,2.95,3.25,1.50,1.20,3.75,4.75,1.05,4.50,8.25,ALL
Adanaspor,Balıkesirspor,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.80,2.90,3.10,1.18,1.20,1.55,5.50,3.90,1.15,3.00,3.10,1.55,1.18,3.60,5.75,1.02,4.40,10.00,ALL
CEFN Druids,Aberystwyth,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.85,3.10,2.75,1.20,1.20,1.50,5.25,4.00,1.15,2.90,3.30,1.50,1.20,3.75,4.75,1.05,4.60,8.00,ALL
Eindhoven,TOP Oss,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.50,3.40,3.75,1.12,1.15,1.75,3.75,3.75,1.30,2.20,3.20,1.75,1.12,4.00,6.25,1.02,4.60,10.00,ALL
Marsilya,Amiens,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.48,3.15,4.75,1.06,1.22,1.95,4.10,3.55,1.30,2.30,2.90,1.95,1.06,3.95,8.50,1.00,4.30,13.00,ALL
TNS,Barry Utd,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.20,4.25,6.25,1.02,1.08,2.30,2.60,3.30,1.65,1.62,3.10,2.30,1.02,4.40,10.00,1.00,1.00,1.00,ALL
Lugo,Cadiz,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.25,2.55,1.90,1.45,1.30,1.15,12.00,4.25,1.02,6.75,3.50,1.15,1.45,2.95,3.50,1.12,3.90,6.75,ALL
Bala Town FC,Connah’s,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.50,2.95,2.10,1.40,1.25,1.25,7.25,4.50,1.05,4.25,3.60,1.25,1.40,3.40,3.40,1.12,4.25,6.00,ALL
Helmond,Dordrecht,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.45,3.10,2.00,1.45,1.20,1.30,7.00,4.50,1.05,4.00,3.60,1.30,1.45,3.50,3.20,1.12,4.25,5.50,ALL
Wexford,Galway U,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,3.90,3.30,1.55,1.75,1.18,1.12,10.00,4.60,1.00,6.75,4.00,1.12,1.75,3.10,2.30,1.30,3.75,4.00,ALL
AL Raed FC,AL Fateh SC,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.30,3.90,1.15,1.18,1.75,3.90,3.75,1.30,2.25,3.10,1.85,1.12,4.00,6.75,1.00,4.60,10.00,ALL
Esperance Sportive De Tun,El Zamalek,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.10,5.00,1.05,1.20,1.80,4.40,3.50,1.30,2.20,2.80,1.90,1.05,3.90,10.00,1.00,4.25,15.00,ALL
St. Patricks,Cork City FC,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.40,6.25,1.05,1.15,2.05,3.50,3.25,1.40,1.95,2.75,2.35,1.02,4.00,12.00,1.00,4.25,15.00,ALL
Grenoble,Valenciennes,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.85,2.65,3.40,1.15,1.25,1.50,6.25,3.90,1.12,3.25,2.95,1.50,1.15,3.60,6.75,1.02,4.40,12.00,ALL
Odra Opole,Belchatow,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.75,2.95,1.20,1.25,1.45,6.75,4.00,1.12,3.40,3.00,1.45,1.20,3.50,5.75,1.02,4.40,10.00,ALL
Ahli Saudi,AL Fayha FC,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.60,3.30,3.50,1.12,1.18,1.70,4.25,3.75,1.25,2.40,3.20,1.70,1.12,4.00,6.00,1.02,4.60,9.50,ALL
Telstar,Jong PSV,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.45,3.50,4.25,1.08,1.15,1.85,3.50,3.60,1.35,2.05,3.10,1.85,1.08,4.25,7.25,1.00,4.60,10.00,ALL
Vasco Da Gama,Abc FC RN,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.35,3.50,5.00,1.05,1.15,2.00,3.75,3.40,1.35,2.05,2.80,2.00,1.05,4.00,10.00,1.00,1.00,1.00,ALL
Maritz. Utd,Polokwane,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,2.80,3.40,1.15,1.25,1.55,6.25,3.75,1.15,3.10,2.85,1.55,1.15,3.50,7.00,1.02,4.25,12.00,ALL
Cabinteely,Shamrock Rovers II,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.35,3.60,4.75,1.08,1.15,2.00,3.30,3.50,1.40,1.95,3.00,2.20,1.05,4.25,8.50,1.00,4.50,12.00,ALL
AL Wahda FC,Ajman Club,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.60,3.30,3.30,1.15,1.18,1.67,4.25,3.75,1.25,2.45,3.20,1.67,1.15,3.90,5.75,1.02,4.60,9.50,ALL
Menemenspor,Altay,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.70,2.85,2.00,1.45,1.25,1.25,4.75,3.50,1.25,1.45,3.20,3.40,1.12,4.00,6.25,1.00,1.00,1.00,ALL
Arabi Doha,Al-Khoor,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.25,2.90,1.25,1.20,1.55,5.00,4.00,1.18,2.80,3.20,1.60,1.20,3.75,5.00,1.05,4.50,8.50,ALL
Le Havre,AJ Auxerre,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.65,3.20,1.15,1.25,1.50,6.25,4.00,1.12,3.25,3.00,1.50,1.15,3.60,6.25,1.02,4.40,10.00,ALL
Real Santa Cruz,Nacional Potosi,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.35,3.00,2.15,1.40,1.20,1.35,6.50,4.50,1.08,3.75,3.60,1.30,1.35,3.50,3.40,1.12,4.40,6.00,ALL
Deportivo Binacional,Sao Paulo SP,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.15,2.70,2.65,1.25,1.25,1.40,8.00,4.25,1.08,4.00,3.10,1.35,1.25,3.30,5.25,1.05,4.25,9.50,ALL
Persik Kediri,Bhayangkara,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.40,3.00,2.10,1.40,1.20,1.30,7.50,4.40,1.08,4.25,3.40,1.30,1.40,3.30,3.60,1.10,4.25,6.75,ALL
Roskilde,Kolding,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.30,3.00,2.20,1.35,1.20,1.35,6.75,4.40,1.08,3.75,3.50,1.35,1.35,3.50,3.60,1.08,4.40,6.50,ALL
A. Giurgiu,Botosani,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.60,2.30,1.35,1.25,1.25,9.00,4.25,1.05,4.75,3.25,1.25,1.35,3.20,4.25,1.05,4.25,8.00,ALL
Duisburg,Magdeburg,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.90,2.85,1.20,1.25,1.50,5.75,4.00,1.12,3.20,3.20,1.50,1.20,3.60,5.25,1.05,4.50,9.00,ALL
Wiener Sport,Ebreichsdorf,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.15,3.10,2.30,1.30,1.20,1.35,6.75,4.25,1.08,3.60,3.40,1.35,1.30,3.40,4.00,1.08,4.40,7.25,ALL
Cimarrones De Sonora,CF Correcaminos Uat,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.60,2.80,1.20,1.30,1.40,7.50,4.00,1.08,3.90,3.00,1.40,1.20,3.40,5.75,1.02,4.25,10.00,ALL
Gornik Zabrze,Cracovia,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.30,2.75,2.35,1.30,1.25,1.30,7.25,4.25,1.08,4.00,3.40,1.30,1.30,3.40,4.00,1.08,4.25,7.50,ALL
Chambly Oise,Le Mans,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.15,2.60,2.65,1.25,1.30,1.35,7.25,4.25,1.08,3.90,3.20,1.35,1.25,3.40,5.00,1.05,4.40,9.00,ALL
Dunkerque,FC Villefranche-Beaujolai,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.20,2.60,2.40,1.30,1.25,1.35,7.50,4.25,1.08,4.40,3.20,1.35,1.25,3.40,5.00,1.05,4.40,9.00,ALL
Chemnitz,Unterhaching,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.90,2.60,1.25,1.25,1.45,6.25,4.25,1.12,3.40,3.25,1.45,1.25,3.50,4.60,1.05,4.40,8.25,ALL
Vejlby Skovbakken Aarhus,Jammerbugt,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.60,2.95,2.00,1.45,1.20,1.25,8.50,4.40,1.05,4.75,3.40,1.25,1.45,3.10,3.50,1.10,4.00,6.75,ALL
Queretaro,Deportivo Toluca,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.70,2.95,3.40,1.15,1.20,1.60,5.00,3.90,1.20,2.75,3.10,1.60,1.15,3.75,6.25,1.02,4.50,10.00,ALL
Hoffenheim II,Mainz 05 II,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.00,3.20,2.50,1.25,1.20,1.45,5.50,4.25,1.12,3.10,3.40,1.45,1.25,3.60,4.25,1.05,4.50,7.25,ALL
Scunthorpe,Grimsby Town,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.90,2.85,1.20,1.25,1.45,6.00,4.00,1.12,3.20,3.20,1.45,1.20,3.60,5.25,1.05,4.50,9.00,ALL
FK Senica,Nitra,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.95,3.00,2.60,1.25,1.20,1.45,5.75,4.25,1.12,3.25,3.30,1.45,1.25,3.60,4.60,1.05,4.50,8.00,ALL
Pumas Unam,CF America,3-3,3,3,6,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.30,2.75,2.40,1.30,1.25,1.35,7.25,4.25,1.08,4.00,3.30,1.35,1.30,3.40,4.25,1.08,4.25,7.50,ALL
CA Zacatepec,CSD Dorados Sinaloa,3-3,3,3,6,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.25,2.70,2.45,1.30,1.25,1.35,7.50,4.25,1.08,4.00,3.25,1.35,1.30,3.40,4.50,1.05,4.25,8.25,ALL
Sigma Olomouc,Jablonec,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.80,2.45,1.30,1.25,1.35,7.00,4.25,1.08,3.90,3.30,1.35,1.30,3.40,4.40,1.05,4.40,8.00,ALL
Gleisdorf 09,Union Gurten,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.30,3.10,2.15,1.40,1.20,1.35,6.75,4.40,1.08,3.75,3.50,1.35,1.40,3.40,3.50,1.10,4.25,6.25,ALL
Nacional Asuncion,Cerro Porteno,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.30,3.10,2.20,1.35,1.20,1.35,7.00,4.25,1.08,3.90,3.40,1.35,1.35,3.40,3.75,1.08,4.25,6.75,ALL
1.SK Prostej,Usti Nad Lab,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.15,2.95,2.40,1.30,1.20,1.35,6.75,4.25,1.08,3.75,3.30,1.35,1.30,3.40,4.25,1.08,4.40,7.50,ALL
